No;Soru;Cevap;Aktif
1;How many days are in a leap year? ; 366.;1
2;How many years are there in a century? ; 100 years.;1
3;How many years are there in a passage of decade? ; 10.;1
4;If a figure is hexagonal, how many sides does it have? ; Six.;1
5;In which direction does the sun come up? ; East.;1
6;Some calendars begin the week on Sunday, what is the other day which commonly starts a week? ; Monday.;1
7;What do we call a book that contains lots of words with their meanings? ; Dictionary.;1
8;What do we call 10 years? ; Dictionary.;1
9;What do we call the piece of paper that proves you have bought an item? ; A receipt.;1
10;What do you call the alphabetical list at the end of a textbook that tells you where to find specific information? ; Index.;1
11;What do you need to see a thing which is far away? ; Binoculars.;1
12;What does a king or queen wear on their head at official ceremonies? ; Crown.;1
13;What instrument would you use to examine very small objects or life forms? ; Microscope.;1
14;What are 3 quarters of 100%? How much percent is three quarters? ;75%;1
15;What is more fuel-effıcient, car, or truck? ; Car.;1
16;What is the antonym of vertical? ; Horizontal.;1
17;What is the study of the stars and planets called? ; Astronomy.;1
18;What is the word for a period of one hundred years? ; Century.;1
19;What kind of liquid do mammals feed their babies (children)? ; Milk.;1
20;Which organ is the blood pumped from? ; Heart.;1
21;What special document do most people traveling between one country to another need to carry? ; A passport.;1
22;What word is used to describe frozen water? ; Ice;1
23;When the writer of a book is unknown, what word is used for the author? ; Anonymous.;1
24;Which sweet food is produced by bees? ; Honey.;1
25;Which symbol is used to complete a sentence? ; Full stop/period.;1
26;Would you go to a pharmacy or a surgery to get a prescription fılled after visiting a doctor? ; A pharmacy.;1
27;Whose job is it to treat people that are ill or have an injury at a hospital? ; Doctor.;1
28;What kind of book is written by a person about their own life? ; Autobiography.;1
29;What is the name of a building where you can borrow books? ; Library.;1
30;On what geographical location would someone be living if their country is surrounded by water on all sides? ; Island.;1
31;What do you call a piece of equipment we use to look at stars? ; Astronomical telescope.;1
32;"In mathematics, there are four basic operations: addition, subtraction, 
multiplication, and what?"; Division.;1
33;Where does a camel normally live? ; Desert.;1
34;How many years are there in a millennium? ; A thousand years.;1
35;What is the natural material used to make a car tire? ; Rubber.;1
36;If a figure is a pentagon, how many sides does it have? ; Five.;1
37;What do you call the strap that circulates a person in a car or an airplane? ; Seatbelt.;1
38;When you get lost in the city, what do you need? ; Map.;1
39;When you react to a stimulus, is your response quick or slow? ; Quick.;1
40;What can we call a doctor who can sell prescribed medicines? ; Pharmacist./Chemist.;1
41;What can we call the animals with white ivory and long trunk? ; Elephant.;1
42;How many days should be added to February in a leap year? ; One day.;1
43;How many years does a centennial celebrate? ; 100 years.;1
44;What are the people who study ancient bones or plants in rocks? ; Paleontologist;1
45;If there are 8 black balls and 1 white ball, and I randomly pick one, which color is most likely to be picked? ; Black.;1
46;If you want to buy a ring, who do you approach, a jeweler or pharmacist? ; Jeweler.;1
47;What do we call the instructions that tell you how to cook food? ; Recipe.;1
48;What is the job title for someone who cooks food in a kitchen? ; Chef /Cook.;1
49;What do you call a list in front of a book which outlines the structure of a book? ; Table of Contents.;1
50;What does a Sundial measure? ; Time.;1
51;What is the big musical instrument that has 88 black and white keys? ; Piano.;1
52;What is the joint between your shoulder and your forearm? ; Elbow.;1
53;What is the opposite of “predecessor”? ; Successor.;1
54;What are the strings on shoes? ; Shoelace.;1
55;What are the things that you touch with your left hand when you play the guitar? ; Strings.;1
56;What kind of sense do you use by your ears? ; Hearing.;1
57;What are the mountains that erupt? ; Volcanoes.;1
58;What do we call the “Times New Roman” in Microsoft Word? ; Typeface/Font.;1
59;What are the two holes in your nose to breathe? ; Nostrils.;1
60;Which one would you use to describe the desert, humidity, or aridity? ; Aridity.;1
61;Before airplanes were invented, how did people travel between the island from America to Europe? ; By ship /By cruise.;1
62;What system does the earth belong to? ; Solar system.;1
63;What is the meaning of “post” in the word “postgraduate? ; After.;1
64;What is the opposite of positive? ; Negative.;1
65;What do we call the thread in the center of a candle? ; Wick.;1
66;What natural resource is used by a carpenter? ; Wood.;1
67;How many hemispheres does the equator divide the globe into? ; Two.;1
68;What is the most catching line of the newspaper? ; Headline.;1
69;How do we call a person who works in the company? ; An employee./Employees.;1
70;What do we call a festival which is held every four years gathering people together as a sporting event? ; Olympics (Games).;1
71;What type of food does a vegetarian eat, beef pie or fruit salad? ; Fruit Salad.;1
72;Which day is between Tuesday and Thursday? ; Wednesday.;1
73;What can bring astronauts to space? ; Spacecraft.;1
74;What publication reports daily news? ; Newspaper.;1
75;What is the collection of pictures called? ; Album.;1
76;Who is a physician who performs surgical operations? ; Surgeon.;1
77;We went somewhere”, how do you understand it’s a past sentence? ; Went.;1
78;What is the opposite side that the sun rises? ; West.;1
79;Who sits in the cockpit of an airplane? ; Pilot.;1
80;How do you describe the line that segments a circle? ; Chord.;1
81;Which continent do China, India, Korea, and Japan locate? ; Asia.;1
82;What is the opposite of the word ‘artificial’? ;Natural / genuine / real.;1
83;What do bees collect from flowers? ; Pollen.;1
84;Why are bees so important to agriculture? ; Pollination.;1
85;How would you describe someone who can speak two languages? ; Bilingual.;1
86;What is a standard set of letters that is used to write one or more languages based upon the general principle? ; Alphabet.;1
87;In which reference book can you find synonyms and antonyms? ; Thesaurus.;1
88;What does ASAP mean? What does ASAP stand for? ; As Soon As Possible;1
89;What do these following belong to chrysanthemum, roses, daisies, tulip, etc? ; Flowers.;1
90;What device do you use to measure your weight? ; Scale.;1
91;How do you call the diagram which includes a horizontal line called X- axis and a vertical line called Y-axis? ; Coordinate system.;1
92;How many wheels does a tricycle have? ; Three.;1
93;Which part at the end of the book can be used for further reading? An index or a bibliography? ; Bibliography.;1
94;Where can you find the index in a book? ; At the end.;1
95;Which one has higher humidity, a desert, or a rainforest? ; A rainforest.;1
96;What is the hardest/toughest part of your hand? ; Nails.;1
97;What is the hard object in the center of peaches, apples, and pears? ; Stone.;1
98;What does the Chemical symbol H2O stand for? ; Water.;1
99;What do you call the publication that is published four times a year? ; Quarterly.;1
100;What is the capital of France? ; Paris;1
101;What is the first paragraph of an essay? ; Introduction;1
102;What do we call the thread in the center of the candle? ; Wick;1
103;What are the mountains that can erupt? ; Volcanoes.;1
104;What are the people who study history and historical evidence? ; Historian.;1
105;Which symbol is used to complete a sentence? ; Full stop / period;1
106;Where does a camel normally live? ; Desert.;1
107;A document protecting someone’s intellectual property? ; Copyright.;1
108;What is the job title for someone who makes meals in a restaurant? ; Chef/Cook;1
109;Which part at the end of book can be used for further reading? An index or a bibliography? ; Bibliography;1
110;What does a Sundial measure? ; Time;1
111;How many years are there in a passage of decade? ; 10 years;1
112;Who sits in the cockpit of an airplane? ; Pilot.;1
113;When your bone is injured and broken, what would you say you have? ; Fracture.;1
114;How do you call the people who work for a company? ; Employees.;1
115;Which one is more fuel efficient, a small car or a large truck? ; A small car.;1
116;What is the big musical instrument that has 88 black and white keys? ; Piano.;1
117;What is the meaning of “post” in the word “postgraduate”? ; After;1
118;How many days are there added in February during a leap year? ; ?1 day;1
119;How do you call a doctor who can sell prescribed medicines in a hospital? ; Chemist/Pharmacist.;1
120;Which one would a vegetarian most likely to eat, sandwiches or fruit salad? ; Fruit salad.;1
121;Which one has a lower humidity, a desert or a rainforest? ; A desert.;1
122;If you have a toothache, do you go to a surgeon or a dentist?;Dentist.;1
123;Animals with white ivory and long trunk? ; Elephant;1
124;How many years does a centennial celebrates? ; 100 years.;1
125;What do you call a list in front of a book which outlines the structure of a book? ; Table of Contents;1
126;Which one has a higher humidity, a desert or a rainforest? ; A rainforest.;1
127;Under which circumstance would you describe the economy as a good one, the one with high unemployment or low unemployment? ; Low unemployment.;1
128;How do you call the book where you collect all your photos together? ; Album.;1
129;How many days are there in February during a leap year? ; 29 days.;1
130;When you use Microsoft Word, what does “Times New Roman” mean? ; Font.;1
131;Which organ is the blood pumped from? ; Heart.;1
132;How would you describe someone who can speak two languages? ; bilingual.;1
133;What is the outer part that protects fruits like oranges and bananas? ; Peel.;1
134;Where can students borrow reference materials in school? ; library.;1
